Subj #,,Spr 1_2,JC (1) ,JC (2),BC (1) ,BC (2),Category 1,Category 2
1,,Had a very busy weekend with my sister visiting town so I've decided to take today to catch up on things I'm behind in and to take a nap.,Physical,,Physical,,Physical,
2,,"I decided to spend my self care time by going on a run. I try to either go on runs or walks at least every other day if not daily. I find that running helps me release stress and frustration. Not only that, but it's also good for my health, so it's a win-win!",Physical,,Physical,,Physical,
3,,I took the time to finish building my baby Yoda lego statue while playing my favorite artists videos on Youtube in the background. ,Mental,,Mental,Emotional,Mental,Emotional
4,,I started a new Asian drama (tv show) called The Oath of Love.,Mental,,Mental,,Mental,
5,,"Yesterday was my birthday and my boyfriend planned a bowling night with my friend without telling me and i was so happy whe I saw all my friends there , in the middle of the week. We spent time together laughing and having fun and made memories. I felt loved and cared for. ",Community,Environmental,Community,,Community,Environmental
6,,"Resilience Coping Skills - I woke up and ate a really good breakfast, took a shower and I am ready to finish my work for the day and try to get as much work done as possible so I won't repeat what happened last quarter. ",Physical,,Physical,,Physical,
7,,I spent some time this past few days going by the beach that is very close to my house. I think I have gotten so caught up with school and work that I have forgotten that there is a beach 5 minutes from where I currently live. I walk around for a bit and enjoy the sun before I get back to school work and I am planning on going later today as well. ,Environmental,Physical,Environmental,,Environmental,Physical
8,,I cleaned my room ,Environmental,,Environmental,Mental,Environmental,
9,,Hung out with my friends ,Community,,Community,,Community,
10,,"I spent Saturday night with my best friend from high school, Erin. We caught up and enjoyed delicious mocktails while watching Bridgerton.",Community,Physical,Community,Mental,Community,Physical
11,,n/a,,,,,,
12,,"For my self wellness my friend Katy and I went and got coffee and planned out some of the backpacking trips we want to do this summer. We specifically laid out our plans for a 5 day trip in Olympic National Park right after finals, and I am really looking forward to it, I have had a really good time backpacking the Olympics in the past. ",Community,Mental,Community,Mental,Community,Mental
13,,"Today I spent some time reading ""The Vanishing Half"" by Brit Bennett. I have been meaning to read this book since I found it on Barack Obama's favorite books of 2020 list and I finally decided to dedicate some time to read a few chapters!",Mental,,Mental,,Mental,
14,,This week I cooked some Korean inspired ground turkey and rice. ,Mental,,Physical,,Mental,
15,,Went on a 30 minute walk,Physical,,Physical,,Physical,
16,,"Seeing how there is a little bit more free time in the beginning of the quarter, I was able to go out and enjoy the sunshine for a bit. I went to explore Golden Gardens Park, since I've never been there before. I got to walk around and enjoy the nature. It was really beautiful.",Physical,Environmental,Environmental,Physical,Physical,Environmental
17,,I got a new air-fryer so I spent some time researching and trying new recipes!,Mental,,Mental,Physical,Mental,
18,,I went on a walk to see the cherry blossoms.,Physical,Environmental,Environmental,Physical,Physical,Environmental
19,,I took a walk around my neighborhood park for 30 minutes. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
20,,It was longer than 15 minutes but I worked out today and got rid of some built up stress that I had surrounding coming back to school,Physical,,Physical,,Physical,
21,,I am spending 2 hours to practice dancing for a song with my group. ,Physical,,Physical,Mental,Physical,Mental
22,,I went to the annual UW Cherry Blossom Festival to enjoy the springtime and to see all the cherry flowers blooming. ,Environmental,,Environmental,,Environmental,
23,,I went grocery shopping ,Environmental,,Environmental,,Environmental,
24,,reached out to a friend and then we played a game together to connect,Community,Mental,Community,Mental,Community,Mental
25,,I took a quick nap before getting back to the assignments ,Physical,,Physical,,Physical,
26,,"I have been going on walks, because it calms me down when I'm having anxiety. Recently, I decided to try something new which I could do without going out in case it's raining, or when the weather is too cold to run or walk. I decided to try meditation, because I believe it's a good way of redirecting my thoughts when I have to. I haven't been able to make much progress like I want to, after few minutes I lose attention, but I think with practice, I can be better at it.",Physical,Spiritual,Spiritual,,Spiritual,
27,,"For wellness, I organized and decluttered my closet. I feel a sense of relief when my environment is organized, visually it gives me peace, and the overwhelm I feel regardless of the source is alleviated. I know it sounds weird, but organizing makes me happy. Also, for some time I have been meaning to add plants to my apartment. I was missing some sort of greenery, seeing green plants and trees make me happy. That is the beautiful thing about living in Washington, there is so much green year-round, and even going for a drive outside the city to see nature gives me peace. I bought a small plant at Trader Joe’s and seeing the color green in my apartment lifts my spirits. So, I thought to myself, I need to get more greenery! The only nearest green I had was in my fridge – asparagus. I made asparagus into décor for my apartment. I do plan on eating the asparagus and in the mean time I can go check out more plants to buy. [photo of plant] [photo of asparagus ""plants"" in window]",Environmental,Mental,Environmental,Mental,Environmental,Mental
28,,Went on a light walk around my neighborhood and looked at the cherry blossoms!,Physical,Environmental,Environmental,Physical,Physical,Environmental
29,,I went out to grab boba and went grocery shopping ,Physical,Environmental,Physical,Environmental,Physical,Environmental
30,,I spoke with my brother over the phone and we caught up with each other. ,Community,,Community,,Community,
