Subj #,,Spr 3_4,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
1,,Spent some time on the phone catching up with my best friend during her lunch break. Since we are both in grad school on opposite ends of the country it can be difficult to find time to virtually spend time together so we take what little time we can!,Community,,Community,,Community,
2,,"For my self care, I decided to find new music to listen to! I find listening to music to be very relaxing and it also helps motivate me to get things done.",Emotional,,Emotional,,Emotional,
3,,I took the time to reach out and talk to one of my close friends back home because it had been a while since I talked to her one on one. It was nice catching up with her for a bit. ,Community,,Community,,Community,
4,,I took a walk around my neighborhood while listening to music.,Physical,Environmental,Environmental,Emotional,Environmental,Physical
5,,I am increasing my cardio work out in the apartment gym . Am lasting 30mins on the peloton. I do it monday Wednesday and Friday as self care. Thank you for this continuing progress in self care.!,Physical,Environmental,Physical,,Physical,Environmental
6,,"I chose to practice reset and relax. This weekend I worked both days and after that I know I have a lot of work and I know I should study, but it was a long day at work. I just chose to hang out with my friends just relax and talk to them and catch up. I need to keep my mental health before anything and prevent myself from burning out. My goal for this quarter is to try my best to not get burnt out and give my mental health first priority. ",Community,,Community,,Community,
7,,"Because I didn't have to drive this morning to get to school, I spent the time going to the gym that is near my house to get some exercise early in the day. I feel a bit relaxed and more focused.",Physical,Environmental,Physical,Environmental,Physical,Environmental
8,,I went to Trader Joes!,Environmental,,Environmental,,Environmental,
9,,Took a nap,Physical,,Physical,,Physical,
10,,"After a good conversation about naps, I remembered that I took many naps this week in between my study sessions to keep my sanity and mental health in check. Caught some good zzzz's!",Physical,,Physical,,Physical,
11,,n/a,,,,,,
12,,"I took a walk outside. A long one. Up most of Mt. Saint Helens. My friend, my fiancé, and I went to climb Mt. Saint Helens last weekend.  The weather was a little variable so we knew that we may not make it to the top, but figured we would give it a whirl anyways.  We got a bit over halfway up when we started entering a snowstorm that had settled itself at the top of the mountain and wasn't budging.  Visibility was getting poor and the wind was beating us a up a bit, so we decided that it wasn't in the cards for the day and turned around and headed down.  I am glad we did because the weather got worse from there.  It was still a fun day out in the snow enjoying nature with some of my favorite people, we will just have to try again in May.  ",Community,Environmental,Environmental,Community,Community,Environmental
13,,This morning I bought myself some flowers to decorate my room. I put them on my study table because the colors truly liven up the space and whenever I need a break from studying I can look up and the flowers are there! I'm thinking about getting some plants for my place as well as the greenery looks pretty and calming.  ,Environmental,,Mental,,Environmental,
14,,This week I was able to go on a hike with my dog at Mt. Si,Physical,Environmental,Environmental,Physical,Physical,Environmental
15,,I spent 20 minutes making lunch. (Heating up the food mostly),Mental,,Physical,,Mental,
16,,"Yesterday, I took a break from studying to try a new restaurant for Seattle Restaurant Week. I went to eat at a Brazilian restaurant which turned out to be very yummy. Today, I will spend my reserved time catching up with my studies. ",Environmental,Occupational,Environmental,Occupational,Environmental,Occupational
17,,I love listening to music so I have been sharing music with someone and discovering how similar our tastes are!,Emotional,,Emotional,Community,Emotional,Community
18,,My roommate and I went on a walk to get coffee! :) [photo],Community,Physical,Community,Physical,Community,Physical
19,,I took a 25 minute nap ,Physical,,Physical,,Physical,
20,,I was feeling frustrated about the upcoming test but I watched a funny youtube video that made me laugh and feel better about the upcoming week,Mental,,Mental,,Mental,
21,,I went for a 30’ walk this morning. ,Physical,,Physical,,Physical,
22,,"I invited an old friend to go out for dinner at BaBar, a Vietnamese restaurant in U village. The food was delicious and we had a great time together.",Community,Physical,Environmental,Community,Community,Physical
23,,I recently got into grocery shopping or just walking around the grocery stores after work. It’s so relaxing. ,Environmental,,Physical,Environmental,Environmental,
24,,went to the dog park,Environmental,,Environmental,,Environmental,
25,,Actually just went shopping for supplies for my cats and got to buy a few new treats for them.,Mental,,Mental,,Mental,
