Subj #,,Spr 7-8,JC (1) ,JC (2),BC (1) ,BC (2),Category 1,Category 2
1,,"Took a nap after class and ended up sleeping too long, but it was much needed.",Physical,,Physical,,Physical,
2,,I watched TV with my dad!,Mental,Community,Community,Mental,Mental,Community
3,,This week I spent about an hour getting dinner with my friends! Much needed study break! ,Physical,Community,Physical,Community,Physical,Community
4,,I went to go visit my high school teachers.,Community,,Community,,Community,
5,,I took a 30 minutes walk in my new neighborhood and there’s a very beautiful creek with trees and birds chirping. Usually this is the background I put on when studying and now walking in it is so peaceful. And the weather is just perfect today! ,Physical,Environmental,Environmental,Physical,Physical,Environmental
6,,"I focused on health and well-being. I utilized this time to drink coffee and relax. I have been feeling a little under the weather this week, I needed this time to relax and rejuvenate to get ready to work for the rest of the day.  ",Physical,Mental,Physical,Mental,Physical,Mental
7,,I spent some time reflecting on my progress as well as thinking about plans for the summer to expand my knowledge and expertise in the field of pharmacy. Having a set plan to put in motion once summer starts has help alleviate some of the stress I have built about how to maximize my summer break. ,Occupational,,Occupational,,Occupational,
8,,Finished reading a really good book called The Midnight Library ,Mental,,Mental,,Mental,
9,,Went for a run,Physical,,Physical,,Physical,
10,,"For my wellness, I decided to read for 20 minutes. I haven't sat down and enjoyed a book in a while, so it was nice getting get through a couple chapters before starting the school grind again!",Mental,,Mental,,Mental,
11,,n/a,,,,,,
12,,I took some time to draw. It was nice to break out of the pharmacy student mindset and use my creative side that has been a little neglected over the school year.,Mental,,Emotional,,Mental,
13,,Today I decided to start writing in my journal again. I find it calming and relaxing and I think it would be nice to have these writings I can look back on as I get older!,Emotional,,Emotional,,Emotional,
14,,This week I cooked up some tacos for my roommate and I.,Mental,Community,Physical,Community,Mental,Community
15,,I heated up some rice for lunch and ate for 30 minutes. ,Physical,,Physical,,Physical,
16,,"I took some time away from studying last night to go for a walk with my boyfriend to our local Italian restaurant. The weather was nice and the sun was out, so it was very refreshing to get out of the house for dinner. There was definitely a lot of bread involved.",Community,Environmental,Physical,Environmental,Environmental,Physical
17,,"I spent the entire day cleaning my room. Messy room, messy mind!",Environmental,,Environmental,Mental,Environmental,
18,,"I went on a walk with Henry, the pup I am house sitting while sipping on some coffee :-) [photo of Henry}",Physical,Mental,Mental,Physical,Physical,Mental
19,,I took a nap for 30 minutes,Physical,,Physical,,Physical,
20,,I honestly kind of forgot to do my wellness health self care activity because I was really stressed about the upcoming medical chemistry test. I found that I got stressed a lot easier and regretted not taking any time for myself. In the future I will be better about managing my time and scheduling time for mental health and physical health.,,,Mental,,,
21,,I was making congee for my breakfast. ,Mental,,Physical,,Mental,
22,,"I called my mom in [country outside US], and we talked for about an hour. It was the day before mother's day. I was so busy that I hadn't called her for weeks, and I almost forgot mother's day. We both had a great time talking and we enjoyed it.",Community,,Community,,Community,
23,,I went hiking with my boyfriend. ,Physical,Community,Physical,Community,Physical,Community
24,, walked the dog down by a lake and sat in the sun ,Physical,Environmental,Physical,Environmental,Physical,Environmental
25,,I went down and did 30 minutes of indoor cycling,Physical,Environmental,Physical,,Physical,Environmental
26,,I went to green lake in Seattle with my friends. We walked around the trail and had lunch afterwards.,Environmental,Community,Physical,Community,Environmental,Community
27,,"This week, I find myself in Chicago with my family. I was having anxiety about coming home because the family drama kept piling on, and it was even causing me to lose sleep over the past 2 weeks. Yet, I am such a lucky human to have friends who keep me sane and know how to reel me back in. Today’s story is about my amazing friend [name] and how he saves me every time I am in town. In November of last year, he took me to art therapy during a time when my soul was feeling unrest. This time around, he picked me up from O’Hare airport, took me out for chicken and waffles (he paid), drove me to my parent’s house, hauled my luggage inside their house, played with my dog, and had a nice visit with my mom. First and foremost, no one likes going to O’Hare, especially in the middle of the day, and he was happy to do it. Second, he doesn’t like to keep me waiting, so he was there early even though my flight was delayed. Third, chicken and waffles! Being able to spend the day with such an amazing friend gave me a wonderful and happy start to a very exhausting upcoming week. We didn’t talk about family, school, nor work. We just laughed a lot, and to be honest, that is all I needed. I am super lucky to have a friend like him. [photo of student and friend with caption: We love to go on walks. During the pandemic, we would walk in a cemetery on Sheridan Avenue early in the morning and follow the coywolves (coyote/wolf mix) that lived there. He is the only person who calls me [full name].]",Community,Environmental,Community,Mental,Community,Mental
28,,Went to my local LA Fitness!,Environmental,,Physical,Environmental,Environmental,
29,,I got lunch with my big [sibling from fraternity],Physical,Community,Physical,Community,Physical,Community
30,,I will be working out at the gym and catching up on studying for the upcoming miderm.,Physical,Occupational,Physical,Occupational,Physical,Occupational
31,,"I just want to be me. Be yourself: behave in a natural way, rather than trying to pretend to be different. Personality contains a variety of aspects. Personal values or authentic self. People respect those who are authentic to who they are. I spend most of my time alone a lot. Knowing who you are simply puts you in a position to make choices that complement your preferences.You are a beautifully unique, complex individual with many different aspects to your personality. Ask yourself: which is the coolest and kindest version of myself to be right now?Start a journey of finding myself.I lost myself for too long. I do not take good care of myself, I changed myself in negative way; that was too bad. I miss the old Linh. The old Linh that used to work so hard, full of ambition with goals and plans, dedicate all my time to study. The old [student name] that used to be really happy and innocent. Starting this year, I will spend time to understand myself, take good care of myself, love myself more than anything else, myself is always the top priority.How to find myself? love myself by listening to my heart, know what is right for me, spend time and make effort to take good care of my skin, my health, my body, my brain, my hair, my emotion, my knowledge, my own vibe, my fashion style; create my own personality and character that I wish to become. Goal is to become a better version of myself, getting better and better every day, improve myself by following good habits.Understand myself, know my personality, respect my worth.",Emotional,,Emotional,,Emotional,
32,,I went to an engagement party.,Community,,Community,,Community,
33,,we had a girls' mother's day dinner with my mom and friends. ,Community,,Community,,Community,
34,,I hung out and had dinner with my friends last Saturday.,Community,Physical,Community,Physical,Community,Physical
35,,"I have been spending more time outside in the evenings in the backyard listening to the birds, walking around, and watching the bunnies eat (we have lots that live/come to our house and they all have babies which is very cute to observe).",Environmental,Physical,Environmental,Mental,Environmental,Mental
