Subj #,,Spr 9-10,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
1,,Set aside and spent some time at night after studying to decompress by watching an episode of a show I’ve been saving. ,Mental,,Mental,,Mental,
2,,"I painted my nails! This is something I really enjoy doing but haven't done since last year, so I'm happy that I was able to find some time to do this.",Mental,,Physical,,Physical,
3,,"This weekend, I went shopping with my friend and had dinner together. Then we also met up with other friends after and spent some quality time together!",Mental,Community,Mental,Community,Mental,Community
4,,I went out and had lunch with my brother. ,Physical,Community,Physical,Community,Physical,Community
5,,It was a nice day today and my friend and I took her kids to the park to play. It was amazing to be out like that after being unwell and in the house for a whole week. I feel energized and more focused.,Community,Environmental,Environmental,Community,Community,Environmental
6,,n/a,,,,,,
7,,I walked for about 15-20 minutes around the neighborhood to help reduce stress and increase mental focus. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
8,,n/a,,,,,,
9,,Took a nap,Physical,,Physical,,Physical,
10,,I sat outside today near the water at South Canpus Center. Good views for dead week!,Environmental,,Environmental,,Environmental,
11,,n/a,,,,,,
12,,"Last week my D&D group was finally able to sync up schedules and meet up for a session (for whoever has to read this and doesn't know, D&D is Dungeons and Dragons, a dorky but fun table top role-playing game). We have been playing this campaign for almost a year, but have had to play a lot less with me in pharmacy school and one guy in nursing school. Most are healthcare workers from my old job in the ER, it's a great group. It is so much fun, a great way to have some drinks, some laughs, and follow/create a crazy story. I needed the break more then I thought.",Community,Mental,Community,Mental,Community,Mental
13,,This morning I decided to walk to campus instead of taking the bus. The sun is out which made it so enjoyable and warm! I also remembered to take my allergy medication last night so I would not sneeze like crazy!,Physical,Environmental,Environmental,Physical,Physical,Environmental
14,,"After an early morning shift at work, I took a nap to rest and recharge before studying this week. ",Physical,,Physical,,Physical,
15,,Regrouped myself and spent 15 minutes organizing everything that I need to do for the next 2 weeks. ,Occupational,,Occupational,,Occupational,
16,,I spent my extra time getting in a nice workout followed by a relaxing nap. Thank you for prioritizing self-care in our busy schedules. ,Physical,,Physical,,Physical,
17,,I visited the dunes near Moses Lake with my friends!,Environmental,Community,Environmental,Community,Environmental,Community
18,,"I found it really hard to do self care this week/today. I have been mourning the loss of the innocent students and teachers that were amongst the school shooting in Texas on Tuesday. I am really appreciative of all my family members, friends, family and peers. Not one second goes by that I am not thankful for them.",Emotional,,Community,Emotional,Emotional,Community
19,,I listened to soothing music for 30 minutes,Emotional,,Emotional,,Emotional,
20,,Today I went outside and played basketball and it helped me refocus to study for finals ,Physical,,Physical,Environmental,Physical,Environmental
21,,I took a nap to refresh myself ,Physical,,Physical,,Physical,
22,,We had a little party at Optimism Brewing to celebrate our PY4 interns finishing their internship at Harborview and soon graduating from pharmacy school. We had a great time hangout together.,Community,Environmental,Community,Environmental,Community,Environmental
23,,I have been studying and working hard to get ahead so that I can watch my favorite game competition on this weekend. It is relaxing just thinking about it!,Occupational,,Occupational,,Occupational,
24,,n/a,,,,,,
25,,On Wednesday I actually went biking for an hour to get my TB screening for IPPE,Physical,Occupational,Physical,,Physical,Occupational
26,,"The highlight of the week was the welcome to the profession ceremony. I had the privilege of spending time with friends and family after the ceremony. I also went for bowling, and that’s like the first time in 2 years, and it was fun.",Occupational,Community,Physical,Community,Occupational,Community
27,,"Our PY1 year is coming to an end and I have a lot to be grateful for. I’m grateful for the sunshine, even on cloudy days, because I know the sun is still there. I am grateful for my apartment because it has come a long way from the days with an air mattress on the floor and a cardboard box table. The following are my top 5 things I am grateful for:
1. I am grateful that my parents are being extremely supportive. This was not the case at first because it was hard for them to have me so far away. Yet, with time they have come see how happy I am here in Washington, and that means the world to them. There are some days that my mom still struggles and misses me a lot, but then I ask her to come live here with me for a couple of weeks, and she decides she can wait until I come home again to visit. 
2. I am grateful for my friends, new and old. I have made amazing friends at school and outside of school that are also supportive, kind, and caring.
3. I am grateful that I have amazing professors who are understanding and compassionate. Some things have been challenging since I have moved to Seattle. The loss of my aunt in November, feeling alone and overwhelmed at time when I go back to Chicago, my mother’s health being unpredictable, the crazy demands of a Mexican federal and local government, my extended family falling apart due to changes my grams made to her will before she past away, Steven’s mental health, and my own mental health. So yes, I am so ever grateful to my professors for helping me get through all these things. And I am determined to one day move back to Chicago, and have a new sense of normal that does not involve so much drama.
4. I am grateful for the mountains that I get to see everyday because they lift me and make me smile.
5. Lastly, I am grateful for the amazing experiences and opportunities that I get to live everyday.",Emotional,,Emotional,,Emotional,
28,,Went to my local gym in the nice sun! ,Physical,Environmental,Physical,Environmental,Physical,Environmental
29,,I went to the gym ,Environmental,,Physical,Environmental,Environmental,
30,,I went to the gym today. ,Environmental,,Physical,Environmental,Environmental,
31,,"Spring is here. Today, I would like to spend a little time in the park to feel the warmth of the sun on my skin, the wind on my hair, and the nature sound around me. Lots of things are going on recently. It is such a relaxing time for me to destress this stressful and chaotic time. 
Walking outside today gives me the feeling of peaceful mind and inner calm. I truly appreciate and enjoy this moment. 
I would like to spend few minutes in silence, not to do anything, just feel the present, feel the nature, feel my true self. It is such a healing time for me. 
After that, I feel so much better and refresh, inspire me to be more creative and work harder, and feel more grateful about my life. ",Environmental,Physical,Environmental,Emotional,Environmental,Physical
32,,I went furniture shopping with my husband. ,Mental,Community,Mental,Community,Mental,Community
33,,We had a family picnic ! ,Environmental,Community,Community,Environmental,Environmental,Community
34,,I went fishing with my family last Saturday,Environmental,Community,Community,Physical,Community,Physical
35,,"I have been trying to journal more to get my thoughts organized on paper and process things easier. I also went on a walk and then out to dinner with one of best friends who is home from school (that I had not seen since Christmas), so it was very nice to catch up!",Emotional,Physical,Emotional,Community,Emotional,Physical
36,,I did an orange theory workout.,Physical,Environmental,Physical,,Physical,
37,,I went to the IMA.,Environmental,,Physical,Environmental,Environmental,
38,,I met with a friend this week at Gasworks park to catch up and look at the city lights ,Community,Environmental,Community,Environmental,Community,Environmental
39,,"Today I had to step away from everything school related by spending some time to build a plastic model, and it’s been awhile since I build something. Totally worth it and definitely reminded me why I started the hobby in the first place…..and now back to work.",Mental,,Mental,,Mental,
40,,"I decided to listen to music for a 30 min break between WIP and IWS on Wednesday.  It was a nice day out so I sat outside.  The sunshine brightens everything and lightens my mood, always.
Great to focus on mindfulness, if only for 30 minutes.",Emotional,Environmental,Emotional,Environmental,Emotional,Environmental
41,,I’m studying for finals :(.,Occupational,,Occupational,,Occupational,
42,,Decided to get up earlier today to make breakfast. Hopefully I start to feel better today as I have recently felt quite terrible. ,Mental,,Physical,,Mental,
43,,Knitted while watching youtube video.,Mental,,Mental,,Mental,
44,,"I made a motivation board to get me through finals including quotes / questions to remind me to keep going.
Example: 
Is your ambition really so weak?
What is going to matter in 5 years: how you feel in this moment or what you make of your time right now?",Emotional,,Emotional,,Emotional,
45,,I went on a long walk to gas works park from my apartment which was about 1.5 miles away. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
46,,I spent time walking in the park and getting fresh air to take a break from studying from finals.,Physical,Environmental,Physical,Environmental,Physical,Environmental
47,,I went to a coffee shop to study today.,Environmental,,Environmental,Occupational,Environmental,Occupational
48,,I took a walk in my neighborhood ,Physical,Environmental,Physical,Environmental,Physical,Environmental
49,,I jogged for 30-minute today!!,Physical,,Physical,,Physical,
50,,I went to IMA to play badminton with my friend. I had sushi with my friends after the white coat ceremony. I was able to sleep a good amount of time over the weekends ,Physical,Community,Physical,Community,Physical,Community
51,,Reading from my current book (A People's History of the United States by Howard Zinn) ,Mental,,Mental,,Mental,
52,,Made a pasta Greek salad.,Mental,,Mental,,Mental,
53,,"I was so overwhelmed during the last couple weeks due to school and workload. However, I started consistently practicing yoga for about two months and I found that it helps me improve balance, endurance, flexibility, and strength. I also practice meditation for 5 minutes before bedtime and it does help keep my mind sharp, relieves stress and anxiety. ",Spiritual,,Physical,Spiritual,Spiritual,
54,,"I went out to the U District Street Fair last weekend with my husband and had a fun time. We enjoyed some good food, saw some great art and crafts, and listened to live music. It was a wonderful break from homework and study. ",Environmental,Community,Community,Environmental,Environmental,Community
55,,I bought myself a venti pink drink to celebrate end of WIP. ,Physical,,Physical,,Physical,
56,,Naps - I've taken many naps this week while stress studying for finals and migraines associated with them,Physical,,Physical,,Physical,
57,,I went to get coffee with a friend. ,Physical,Community,Physical,Community,Physical,Community
58,,I watered my plants. ,Environmental,,Environmental,,Environmental,
59,,This week I was feeling like I needed some alone time in nature so I chose a close hike and spent some time hiking alone outdoors. It was a gorgeous day and it was good for me to get sunshine and fresh air before the stress of finals sets in. I think I want to incorporate time alone in nature at least once a week while the weather allows. ,Physical,Environmental,Environmental,Physical,Environmental,Physical
60,,I took a nap and took a walk.,Physical,,Physical,,Physical,
61,,Today I chose to take a nap before work.,Physical,,Physical,,Physical,
62,,"I was so lucky, I got to go to the Woodland Park Zoo for member appreciation night. It was a fun night with some after hours access. We got to see the new butterfly exhibit and I got some really amazing pictures of butterflies. I also got to see the Komodo dragon actually moving around, I've never seen that before, it was so cool! It was such a nice fun and relaxing night, really grateful we've been able to make the most out of our membership there. :)",Environmental,,Environmental,Mental,Environmental,Mental
63,,I took 30 minutes today to walk by the water and spent some time doing mediation by the water ,Physical,Spiritual,Environmental,Spiritual,Environmental,Spiritual
64,,n/a,,,,,,
65,,I took a break from studying and went to U-district annual street fair.,Environmental,,Environmental,,Environmental,
66,,"Today, I listened to music while taking a walk outside to destress.",Emotional,Physical,Emotional,Physical,Emotional,Physical
67,,"Since it is such a nice day today, I decided to walk to South Campus Center, get a cup of coffee and enjoy the sun before studying. ",Environmental,Physical,Environmental,Physical,Environmental,Physical
68,,I watched the new Dr. Strange movie with a group of my friends.,Mental,Community,Mental,Community,Mental,Community
69,,I went for a walk around the lake behind the health science building after school. ,Physical,Environmental,Environmental,Physical,Environmental,Physical
