Subj #,,Win 1_2,JC (1),JC (2) ,BC (1) ,BC (2) ,Category 1,Category 2
1,,Took the time to do some meal prep last night (experimented and ended up with a very cheesy alfredo pasta!),Physical,Mental,Physical,,Physical,Mental
2,,1. Select one of the activities that resonates with you: Rest/Relax 2. Document your participation: I decided to spend my 20 minutes of self-care by relaxing and listening to music.,Emotional,,Mental,,Emotional,
3,,"Today, I cooked myself lunch and it was delicious! ",Physical,,Physical,,Physical,
4,,I worked on my Paint by Diamond piece.,Mental,,Mental,,Mental,
5,,I took a 20 minutes walk from the train station to my apartment. normally I usually take a bus. It was very refreshing.,Physical,Environmental,Physical,Environmental,Physical,Environmental
6,,"Currently, I have been way too stressed to focus on myself, especially because I was extremely sick last week and I could not submit any of my assignments, they all piled up for this week. However, last week I spend time focusing on getting rest, sleep, and hydrating so I can get better again.",Physical,,Physical,,Physical,
7,,"Since we started school completely virtually, I feel like I have not been very active and felt a bit down. So, I have made changes to my day to day routine by starting the day with a quick run around my apartment building. I have also taken the time to socialize with friends and family so I don't feel so isolated all day long. ",Physical,Community,Physical,Community,Physical,Community
8,,I was having a really hard week and I met up with a friend for a walk on the Quad and I felt a lot better afterwards ,Community,Physical,Community,,Community,Physical
9,,I worked out at my local gym with two of my friends.,Physical,Community,Physical,,Community,Physical
10,,"For my self-care, I decided to FaceTime a friend to catch up and experience social interaction.",Community,,Community,,Community,
11,,"I connected with my environment by taking a walk around my neighborhood with my dog. I also always let him play with the other dogs we encountered, and it warms my heart to see him playing and waving fun with other dog friends.",Environmental,Emotional,Physical,Environmental,Environmental,Emotional
12,,"I went to the gym multiple times, specifically I have been lifting weights and stationary cycling.  I had a long lapse away from the gym but I really enjoy going because it gives me a time where the only focus is my health and nothing else, which is something I sometimes forget.  I usually spend about an hour to an hour and a half there.  ",Physical,Environmental,Physical,Environmental,Physical,Environmental
13,,I listened to some relaxing music today. It was an ambient Harry Potter remix soundtrack and it felt nostalgic and comforting!,Emotional,,Emotional,,Emotional,
14,,I took time today to cook pot roast.,Physical,,Physical,,Physical,
15,,I had a homecooked meal.,Physical,,Physical,,Physical,
16,,"I took a workout class to better my health, strengthen my immune system, and clear my mind. ",Physical,Mental,Physical,,Physical,Mental
17,,"I went to the IMA in the middle of the day so that the studio rooms were not taken, found an open studio room, and learned a new dance!",Physical,Environmental,Physical,Environmental,Physical,Environmental
18,,I listened to a podcast that wasn't about the news! It was more light hearted and funny - I would definitely suggest that because news related podcasts cause me a lot of distress sometimes.,Mental,,Mental,Emotional,Mental,
19,,I spent 30 minutes listening to calm/relaxing music on Youtube with my eyes closed.,Emotional,,Emotional,,Emotional,
20,,I choose to focus on nurture connection. I reached out to some friends that I haven't talked to in a while and played the videogame that we used to play together.,Community,,Community,,Community,
21,,I cooked mushroom soup with fish cake. ,Physical,,Physical,,Physical,
22,,I took a walk at Olympic Sculpture Park.,Physical,Environmental,Physical,Environmental,Physical,Environmental
23,,I took a walk to whole foods when the rain stopped. ,Physical,Environmental,Physical,,Physical,Environmental
24,,took a nap,Physical,,Physical,,Physical,
25,,I spent my time looking at the cook book for my dinner and did some food preparation. ,Mental,Physical,Physical,,Mental,Physical
26,,"I took a walk in my neighborhood, then wrote a letter to myself of how I’m doing well, and the need to take care of myself.",Physical,Emotional,Physical,Emotional,Physical,Emotional
27,,"I burned some sage to clear my energy as well as the energy in my space. Then, I proceeded to do a grounding exercise that was taught to me by my teacher Cindy. I used to practice grounding at least once a week when I lived in Chicago, plus I also attended sound mediation. Since I arrived in Washington, I have not done either. So this was amazing and greatly needed. It felt wonderful to release, reconnect, and set an intention to my day. [photo of burning sage]",Spiritual,Emotional,Spiritual,,Spiritual,
28,,I went to LA Fitness and exercised today.,Physical,Environmental,Physical,Environmental,Physical,Environmental
29,,I went out to lunch with a friend who I haven't seen in about two years,Physical,Community,Community,,Physical,Community
30,,I worked out at the gym for a couple hours to take care of myself. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
31,,"Happy New Year 2022!  My goal in this year is trying to be in present as much as I can.  Taking good care of yourself is also a way to love yourself. 
I understand it is a real challenge to balance my academic life, professional life, and personal life at once and make time to do things I enjoy in my busy schedule.  
Today, the activity that I would like to choose is nurture connection; specifically, self-connectedness.  Journal: I love to spend some few minutes at the end of the day to write down all my thoughts and reflect my own self. Journal helps me to clear myself and understand myself more. So, I know what I need to improve, and questioning myself some questions like what are my weaknesses/strengths? what are my goals/purposes? why should I feel proud of myself?Write a letter to my future self: who I want to become, what I want to accomplish. What are the challenges that I want to overcome in the next week/month/year? What lessons that I want to give advice for my younger self and future self?
 ",Emotional,,Emotional,Mental,Emotional,
32,,I spent one-hour dancing ,Physical,,Physical,,Physical,
33,,I did embroidery for about 30 min while watching a tv show. ,Mental,,Mental,,Mental,
