Subj #,,Win 7_8,JC (1) ,JC (2),BC (1),BC (2),Category 1,Category 2
1,,Called a friend who happened to be on her lunch break since time zone differences often make finding time difficult.,Community,,Community,,Community,
2,,"For my self care, I went on a walk and listened to music!",Physical,Emotional,Emotional,Physical,Physical,Emotional
3,,"Today, I spent my break eating good food and watching an episode of Ozark!",Physical,Mental,Physical,Mental,Physical,Mental
4,,I worked on my Paint by Diamond while listening to music. ,Mental,Emotional,Mental,Emotional,Mental,Emotional
5,,I walked around the neighborhood for thirty minutes. The fresh air was amazing. Thankyou for always reminding us to do selfcare,Physical,Emotional,Physical,Environmental,Physical,Environmental
6,,"This week I focused on Resilience and coping skills Last week I had a very stressful midterm and WIP on Wednesday, I did not get enough sleep plus I work on weekends, today I slept in until 10:00 am. I spent some time just drinking coffee and staring outside the window, browsing through my phone so I can take that little time for myself before I start my work/studies.",Physical,Mental,Mental,Physical,Physical,Mental
7,,Create: I spent some time learning how to cook a few different afghan dishes that my mom would make at home. I think it helped a lot just to relax and place my focus on something different other than school to release some stress. ,Mental,,Mental,,Mental,
8,,I'm getting lunch with my  dad!,Physical,Community,Community,,Physical,Community
9,,I went for a walk around my neighborhood,Physical,Environmental,Physical,Environmental,Physical,Environmental
10,,I walked to class and took in the scenery.,Physical,Environmental,Environmental,,Physical,Environmental
11,,n/a,,,,,,
12,,"I went hiking with a good friend of mine and my dog.  We hiked up a trail that is commonly used for cross country skiing and snowshoeing.  The snow was compact enough that we did not need snowshoes though.  We hiked up about four miles with sleds, looking like lunatics, and then sledded all the way down.  It was ridiculously fun, sledding down four miles, we were giggling like kids the whole way. It was a really nice break.",Physical,Environmental,Community,Environmental,Physical,Community
13,,"Today I went on another walk. I needed to get some hair oil and instead of driving, I decided to walk about 20-25 minutes each way. It felt nice getting some fresh air in the morning. I also do a lot of self-care in the form of skincare and I want to start doing more hair care. When I take care of myself physically in these forms I feel more put together and generally better about myself. Walking is another way I can physically help myself. I think doing these physical activities like walking, skincare, and hair care reflect onto my mental health as well in a positive manner! I also wanted to thank the 512 teaching team for doing this wellness self-care documentation. It reminds me to take care of myself and take a break from studying or stressing! Thank you!",Physical,Environmental,Physical,,Physical,Environmental
14,,Went skiing with friends on the weekend. ,Physical,Community,Physical,Community,Physical,Community
15,,I carved a chicken and had dinner for an hour. ,Mental,Physical,Physical,,Physical,
16,,"For my self-care, I spent my time treating myself to some “me time.” It’s been a while since I’ve had time for myself so it was nice to do something for myself. In this time, I got my nails done because I love it when my nails are cute. It definitely puts me in a better mood! I do appreciate the extra time given to us to take care of ourselves. Even if it’s an extra 1 to 2 hours, can really make a difference. ",Physical,,Mental,,Physical,
17,,"I went on a photoshoot with a few friends, my favorite thing to do!",Mental,Community,Community,Mental,Mental,Community
18,,[photo] playing game of Jenga,Mental,,Mental,,Mental,
19,,I took a walk around my neighborhood park ,Physical,Environmental,Environmental,Physical,Environmental,Physical
20,,I took a nap and I felt much better. I felt rejuvenated and was able to study better afterwards.,Physical,,Physical,,Physical,
21,,I cooked for myself a fried-pork congee today.,Mental,,Physical,,Mental,
22,,I spent 30 minutes to watch team USA ski and snowboard at the Beijing Winter Olympic.,Mental,,Mental,,Mental,
23,,I called a friend ,Community,,Community,,Community,
24,,Got in a cardio workout playing boxing in vr ,Physical,Environmental,Physical,,Physical,Environmental
25,,I worked out every night at the gym for 1 hour.,Physical,Environmental,Physical,Environmental,Physical,Environmental
26,,"I watched a YouTube video of how to prepare a shrimp fried rice. It didn’t taste like I expected, although I learnt something new and with practice, it will be perfect. I have also been listening to audio books and going on my routine walks.",Mental,Physical,Physical,Mental,Physical,Mental
27,,"I wish I could have stayed in bed a little longer, probably slept a little longer, but it was a good thing that I got up for class. During the hour for ‘Me’ time, I called home to check in on mom. She was happy because her sister was there and they were making cream of broccoli soup. I miss her and my dog too. At the same time, I made myself breakfast, something easy and fast that reminds me of my childhood. Eggs cooked with sliced wieners. And then you put ketchup on top. Chicago people take very much offense to putting ketchup on hotdogs, but they just don’t know what they are missing. After that, I made my bed and organized the kitchen. Then, I realized that self-care means the most basic care for living (food, clean, wash clothes, etc.). It made me laugh at myself, but at this point I will take what I can get, and I am super grateful to have had that hour because I feel mentally awake and ready to go about the rest of my day. Coffee also helps.",Community,Environmental,Community,Physical,Community,Mental
28,,"Once again, went to LA fitness to help take my mind off of school work! ",Physical,Environmental,Physical,Environmental,Physical,Environmental
29,,I went outside and enjoyed the sun ,Environmental,,Environmental,,Environmental,
30,,I went for a walk,Physical,,Physical,,Physical,
31,,"The activity that I choose this time is cooking a new meal that I have not tried yet. Trying a new recipe is such an interesting activity for me because cooking is the way that force to pay more attention, help my creativity flow, and be more in the moment. I got personal satisfaction after trying a new recipe. I feel healed and rewarded after enjoying my meal. Cooking a new dinner dish this time enabled me to create something I have not taken the opportunity to do; and figured out myself that I could manage things in my control like how much seasoning should I add in, check the temperature, the time to cook. Now, I have a new dish that add to my recipe list.",Mental,,Physical,,Mental,
32,,I went out with my fiancé to dinner.,Community,Physical,Community,Environmental,Community,Physical
33,,We had two surprise parties on Saturday- one for my uncle and one for my friend. I spent around 5 hours in total. It made me feel so happy and reminded me how much I miss my family overseas. ,Community,,Community,,Community,
34,,I spent an hour biking around my neighborhood last weekend,Physical,Environmental,Environmental,Physical,Physical,Environmental
35,,I met a friend I had not seen in a while for coffee and breakfast.,Community,Physical,Community,Physical,Community,Physical
36,,"As usual, I took my dog on a walk around the neighborhood. I have been quite stressed and anxious as of late. My bathroom was flooded by the upstairs neighbor and mitigation isn’t going as smoothly as I want. I’m stressed about this weeks exams and quiz. My study focus has been terrible and I feel like I am going to not perform well. Fortunately, walking my dog through the snow this morning brought me some relief. I was able to decompress from the stress and anxiety. I appreciate everyone and everything. Sorry instructors for the vent.",Physical,Environmental,Environmental,Physical,Physical,Environmental
37,,I played piano for 30 minutes.,Emotional,,Mental,,Mental,
38,,I visited my parents and had lunch with them!,Community,Physical,Community,,Community,Physical
39,,"With the given three day weekend, I took some time to relax and rest as much as I could to recover from long week 7. ",Mental,,Physical,,Mental,
40,,"This past week I chose to focus on getting out in nature.  We spend so much time indoors studying, in class, or working so I wanted to take advantage of a beautiful winter's day and get out for a bit.  I actually took time to drive to a different neighborhood (Magnolia!) and walk along the bluff.  The water, the boats, the ferry, even the cargo ship were all such a wonderful part of the ""urban slice"" of life in those 30 minutes.  I topped it off with a latte in the Village.  #love",Environmental,Physical,Environmental,Physical,Environmental,Physical
41,,I took a nap.,Physical,,Physical,,Physical,
42,,This was my birthday weekend so I went out to eat with my family in the area and my best friend came up from Olympia and stayed the night. Was a pretty solid weekend and one with more interaction then I am used to given COVID.,Community,Physical,Community,,Community,Physical
43,,Watched YouTube while drawing for around 40 minutes. ,Mental,,Mental,,Mental,
44,,I spent 20 minutes looking for ONE PIECE of the hardest puzzle I've ever done. yes this puzzle could be considered as not self-care as it is infuriating but that one piece was a huge accomplishment. ,Mental,,Mental,,Mental,
45,,"My skin has been getting quite a few breakouts recently so I've been keeping a dedicated time this past week to do a multi step skin care routine. Typically, t's really time consuming so I don't do much but it's been a lot of fun and overall made me feel so good. ",Physical,,Physical,,Physical,
46,,Rest/relax I spent time listening to music and unwinding after studying for and taking a midterm.,Emotional,Mental,Emotional,,Emotional,Mental
47,,Today I made breakfast and took a walk around campus.,Mental,Physical,Physical,Environmental,Mental,Physical
48,,I did light work out for 45 minutes before I start studying for medchem exam,Physical,,Physical,,Physical,
49,,I spent 43 minutes to listen to a podcast and wrote in my journal my main takeaways from the podcast. ,Mental,Emotional,Mental,Emotional,Mental,Emotional
50,,I took a walk at Green Lake park. I went to a health fair at Seattle Center to volunteer. I did yoga at home 20 minutes 3 times a week. I listened to podcast before I went to bed and when I woke up in the morning.,Physical,Occupational,Environmental,Spiritual,Physical,Occupational
51,,Worked out at the gym,Physical,Environmental,Physical,Environmental,Physical,Environmental
52,,I took a study break to make a green smoothie. It was delicious and nutritious!,Mental,,Physical,,Mental,
53,,"This week I'm so overwhelmed with a lot of stuffs from school and work. I did not get much time to do anything else besides studying and working. Gladly my boyfriend took me out to Gas Work park last night for a walk and it did really help me destress a little bit. We had a chance to see the Orion and it was a very clear and beautiful night sky, and I took a photo of it :)",Physical,Environmental,Community,Environmental,Community,Environmental
54,,I took a short nap then cooked a meal with my husband. We also talked about how things are going and I got a lot of emotional support from him.,Physical,Community,Community,Emotional,Physical,Community
55,,I went to Dave and Buskers which is an arcade and it was super fun and stress relieving. ,Mental,,Environmental,Mental,Environmental,Mental
56,,Create: got reacquainted with and played my saxophone after awhile without it,Mental,,Emotional,,Mental,
57,,"Since it was a nice day yesterday, I took out my camera and walked about the neighborhood. ",Physical,Environmental,Environmental,Mental,Mental,Environmental
58,,I made cinnamon rolls!,Mental,,Physical,Mental,Mental,
59,,"This past week I spent some much needed time resting after a long week of school. Friday, I had a long day of school and as usual was feeling stressed about the work I had to do for the coming weekend. I decided to take a nap and give myself some time to rest before starting homework. I knew that if I rested, I would be able to come back to homework with a clear head and that's exactly what happened.",Physical,,Physical,,Physical,
60,,I went to the spa this morning.,Physical,Environmental,Mental,,Environmental,
61,,Today I engaged in social connectedness. I FaceTimed with my mom and dad this afternoon for about an hour. This was really nice because I had not spoken to them on the phone in a few weeks. They asked how I was doing which is question I hear less often living alone and being in a program where my classmates are going through the same stress I am. ,Community,,Community,,Community,
62,,"Today I got to play video games with my boyfriend. Yes, it's something we do quite often together. However, with class at home today and me not being at my WIP site, he also happened to have the day off. This is the first day we've had a day off together without having to go somewhere to meet people in a long time, so it was nice to take some time and just sit and relax and play games together. :)",Mental,Community,Community,Mental,Community,Mental
63,,After class I went on a nice walk by the water and listened to music. Then I say on a lawn chair for 10 minutes and listened to music and walked back to my apartment. ,Physical,Emotional,Emotional,Environmental,Environmental,Emotional
64,,Today I am working on my rest/relaxation wellness. I have purchased my favorite flavor of Milanos (dark chocolate mint) and put on a pot of tea and am going to enjoy some TV and tea time before getting back into studying. ,Physical,Mental,Physical,Mental,Physical,Mental
65,,"This week I combined being outdoors and breathing in the fresh air with one my favorite hobbies, shopping. I took a walk around the outlet mall in Marysville. It was fun and refreshing but disappointing as I didn’t really find what I was looking for. It did help a little but once I got home, I realized I have so much to do. I think the hardest part of this quarter, or any quarter is getting a bad start. For me it is so hard to just block it out and take each task as a separate task. I need to learn to not let one bad day become 2 or 3 or 4.",Physical,Environmental,Mental,Environmental,Mental,Environmental
66,,I went and got a quick lunch with a friend before studying together.,Physical,Community,Community,Occupational,Community,Occupational
67,,I cooked some of my favorite dishes for me and my friends,Mental,Community,Physical,Community,Mental,Community
68,,I got dinner with a friend at a nearby Pho place!,Physical,Community,Community,Physical,Physical,Community
69,,"Over the three-day weekend, I invited friends over to my place and we chatted, had dinner, and studied together. It was very relaxing and happy. ",Community,Physical,Community,Occupational,Community,Physical
70,,I am meeting up with a friend who I haven’t gotten the chance to hang out with for over 2 months and we’re going to try out a new restaurant together.,Community,Environmental,Community,,Community,Environmental
71,,Got takeout instead of cooking and facetimed my friends to just talk about how things are going,Community,Physical,Community,,Community,Physical
72,,I played a game with friends ,Mental,Community,Mental,,Mental,Community
73,,Went on a 30 minute run,Physical,,Physical,,Physical,
74,,I took some time out today to step out of my apartment and take a walk around the block. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
75,,This week I walked around Greenlake over the weekend and let myself have small dance sessions in between studying.,Physical,Environmental,Enviornmental,Physical,Physical,Environmental
76,,I worked out for 30 minutes following a HIIT video on youtube at home. ,Physical,,Physical,,Physical,
77,,I took a walk and talked to my friend from back home on the phone.,Physical,Community,Community,Physical,Physical,Community
78,,I took sometime to water my plants and made myself a meal. I just sat and enjoyed my food and put my homeworks away for a second.,Environmental,Physical,Mental,Physical,Environmental,Physical
79,,I chicken fried rice with my leftover rice.  Also used my instant pot to cook chicken to a perfect tenderness.,Mental,,Phsyical,,Mental,
