Subj #,,Win 9_10,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
1,,Took a walk outside to take in some of the rare sun that was shining!,Physical,Environmental,Physical,Environmental,Physical ,Environmental
2,,One of the activities that I chose for health/wellness was rest and relax. I spent time watching TV with my parents. We watched a documentary on time travel and black holes. It was really interesting! ,Mental,Community,Mental,Community,Mental ,Community
3,,"Today, I spent some of my time watching a show on Netflix with my roommate. It was nice being able to spend some quality time with her.",Mental,Community,Mental,Community,Mental,
4,,I grabbed lunch with a friend.,Physical,Community,Community,,Physical ,Community
5,,I tried to using  peloton in our apartment building in preparation to riding my bike in summer and i did it for 15 minutes on first day and was out of breath. Today I did it for 35 minutes and the feeling was amazing. I have more energy! ,Physical,Environmental,Physical,,Physical ,
6,,"Today, I focused on a growth mindset and rest relax. I am extremely stressed about the finals, and I have been too anxious to sleep at night. I used this time to catch up on sleep, I had a really good healthy breakfast. I am starting off the day with a healthy mindset so I can study the rest of the day without feeling burnt out or sleep-deprived. ",Physical,Mental,Physical,,Physical ,Mental
7,,"For this assignment, I chose to do a rest and relax by doing meditation for about 20 to 30 minutes. I sat down and on empty dark room and closed my eyes for as long as possible and try to focus on relaxing muscles in different areas of the body. I used some of the techniques that was taught to us in the beginning of the pharmacy program.",Spiritual,,Spiritual,,Spiritual,
8,,I took some time to write a journal entry. At the start of fall quarter I was journaling every night but fell off of it as things got hectic- I'm trying to be on top of it again ,Emotional,,Emotional,,Emotional,
9,,Started watching a new TV show,Mental,,Mental,,Mental ,
10,,This week I worked out at the IMA for 1 hour.,Physical,Environmental,Physical,Environmental,Physical ,Environmental
11,,n/a,,,,,,
12,,"This last weekend I went to a concert with my fiancé. Before the pandemic we went to a couple concerts a month, and it is something we have really missed. t was so nice to get out and see live music.  The concert was for a local band's album release weekend, always good to support local talent as well.  The band is called The Dip, they have a funk/soul/pop kind of feel and are super fun. It was really enjoyable. ",Environmental,Community,Environmental,Emotional,Environmental,Emotional
13,,"Today, I decided to make a homemade meal. I feel as though I have been eating out a lot more and generally not eating healthy because I don't have much time to do anything besides catch up and study. It was nice to finally give myself time to cook as I do enjoy coming up with new recipes and seeing where my hands and tastebuds take me! ",Mental,,Physical,,Mental,
14,,Walked my dog around the neighborhood. ,Physical,Environmental,Physical,Environmental,Physical ,Environmental
15,,Watched a Netflix documentary for 20 minutes. ,Mental,,Mental,,Mental,
16,,"For my health and wellness this week, I chose to spend my extra free time by going to church. Yesterday just so happened to fall on Ash Wednesday. I really appreciated having the time to go to church seeing how my busy school schedule hasn’t given me the time do so over the quarter. It was comforting to reconnect with my faith again. ",Spiritual,,Spiritual,,Spiritual,
17,,"I was strangely craving apple juice all day so yesterday night, I grabbed a few friends and we walked together to the store to grab some apple juice and catch up briefly before we went back to studying. ",Community,Physical,Physical,Community,Community,Physical
18,,[photo] dog-sitting,Mental,,Mental,,Mental,
19,,I spent 30 minutes making myself a few beef tacos for lunch today. ,Mental,,Physical,,Mental,
20,,I went for a run today which always boosts my mental health and improves my physical health.,Physical,,Physical,,Physical ,
21,,I was dancing with my favorite song in the background. ,Physical,Emotional,Physical,Mental,Physical ,Emotional
22,,I took a 30 minutes nap between the studying to recharge.,Physical,,Physical,,Physical ,
23,,I spent time with my boyfriend and relaxed. ,Community,Mental,Community,,Community,
24,,took a nap,Physical,,Physical,,Physical ,
25,,I worked out for 30 minutes ,Physical,,Physical,,Physical ,
26,,"I went to the cinema with 2 of my friends. It was wonderful because I have not done this in a while. I felt refreshed and renewed after the hang out. Since it can get very cold sometimes, I have stopped the long walks in the evening and doing short runs in the morning. ",Environmental,Community,Environmental,Physical,Environmental,Community
27,,"For self-care, this week I organized my apartment (it’s a studio so it’s not so much) and it felt great! There is this calming feeling when my surroundings are organized, it makes me happy, and it motivates me to study more. I did laundry and made sure everything was clean and hung in its respective place; my clothes are organized by color, it flows nicely and it’s pretty to look at, plus I know where everything is and it takes me less time to pick something to wear. I folded sweaters, stored shoes that I don’t wear often and left out the ones that I wear the most for school and work. This also helps because I have the minimum number of shoes available, which means less time spent looking for shoes. But, the one thing that made me really happy was rearranging my furniture. I feel like I tend to do this a lot, after a while something starts to feel off about the apartment, I move the furniture, and then everything is well in my world again. I kept thinking about my mom because we would help her rearrange the furniture as kids, and we did it quite often. I get it now. Been meaning to tell her that. My apartment is organized, but in my head, it’s not fully organized, so I am always looking for ways to improve things. For spring break, my plan is to organize the kitchen, put up some curtains, bring in some green plants, and scrub the kitchen floors (I sweep and clean but it feels like it needs a good scrubbing). It’s definitely not a trip to Cabo, but I know it’s going to make me so happy. ",Environmental,,Environmental,Mental,Environmental,
28,,Went to LA fitness to relieve some stress ,Physical,Environmental,Physical,Environmental,Physical ,Environmental
29,,I went out to lunch with my mentee ,Environmental,Community,Community,,Environmental,Community
30,,I took a walk with my friend on a trail ,Physical,Community,Community,Environmental,Physical ,Community
31,,"The activity I choose to day is gratitude. I write a reminder for myself: Don’t let anyone control me. I don’t depend on anyone. Gratitude: 5 things that I feel grateful: - I have a good health. I’m healthy. So, I can work and study and do whatever I want in my life. Good health means I have the positive energy to study, work, and serve community. -I have a happy and stable family who always support me, and home is a safe place for me to be back after a long and tiring day. -I have some close friends I can trust and share lots of things in my life. -I am in the progress to be a future pharmacist which means I can use my ability and knowledge to help lots of people in the future, I want to be a useful person. - I have clean food and water to use daily which is already a huge blessing.",Emotional,,Emotional,,Emotional,
32,,I went shopping for clothes.,Mental,,Mental,,Mental,
33,,I did some shopping and hung out with family friends over the weekend. ,Mental,Community,Mental,Community,Mental,Community
34,,I went to a Cirque de Soleil show last weekend with my friends.,Mental,Community,Community,Mental,Mental,Community
35,,I have been working on knitting a coaster for myself recently.,Mental,,Mental,,Mental,
36,,I recently started journaling daily. I’ve found it useful to reflect on the activities of the day and feel a stronger appreciation for life.,Emotional,,Emotional,,Emotional,
37,,I worked out at the gym for 1 hour.,Physical,Environmental,Physical,Environmental,Physical ,Environmental
38,,I took an hour long nap!,Physical,,Physical,,Physical ,
39,,"I was watching videos of Vietnam, and I was thinking about how my life is very different than those in Vietnam. Therefore, I came up with 5 things I’m grateful for living here compared to living in Vietnam, here I have: freedom to freely think and express my thoughts, access to clean water, roof over my head, food, and education. After reflecting I found that there is no other place I would be than here in America the land of freedom and opportunity.",Mental,Emotional,Emotional,,Mental,Emotional
40,,"After WIP today, I decided to relax by listening to some ocean music to destress from the business of the hospital environment and all that we had been working on.  It was a wonderful way to think about vacation at the end of the quarter.  So glad to have had a break!",Emotional,Mental,Mental,Emotional,Emotional,Mental
41,,I called my bestfriend.,Community,,Community,,Community,
42,,I decided to go out and take pictures as today is a beautiful day. Not sure if I got any photos that I particular like but it was nice to go out and do something stress free. ,Environmental,,Environmental,,Environmental,
43,,I spent a few hours cooking 3 dishes. ,Mental,,Physical,,Mental,
44,,walked around Green Lake and returned my packages that have been sitting at my door forever,Physical,Environmental,Environmental,Physical,Physical ,Environmental
45,,I had a spa day with my mom and sisters at this place in Bellevue. This was our first time doing this all together and it was so much fun and relaxing so we're definitely going to try and do it more often. ,Environmental,Community,Community,Mental,Environmental,Community
46,,Nurture- social connectedness. I spent time studying with friends for exams.,Community,Occupational,Community,Occupational,Community,Occupational
47,,I went a got coffee and walked around Capitol Hill before studying :(,Physical,Environmental,Physical,Environmental,Physical ,Environmental
48,,I walked for 30 minutes.,Physical,,Physical,,Physical ,
49,,I went on a 30-minute walk and got some bagels from my favorite bagel shop. ,Physical,Environmental,Physical,,Physical ,Environmental
50,,I went to an art museum in downtown Seattle and had dim sum with my friends last Weekends. I went jogging at Green Lake. I spent five minutes writing my journal before going to bed. I also watched some Netflix shows after my midterm last Friday night.  ,Environmental,Community,Physical,Mental,Environmental,Community
51,,Went to the gym.,Physical,,Physical,Environmental,Physical ,Environmental
